,open,close,high,low,volume,money
2017-06-21,6074.61,6078.19,6080.53,6035.27,5673042900.0,66856678681.0
2017-06-22,6074.37,5992.34,6094.55,5992.34,6922564100.0,82350322636.0
2017-06-23,5978.24,6010.31,6010.31,5923.55,6350512400.0,73951244991.0
2017-06-26,6013.48,6111.64,6111.71,6011.86,6984617800.0,86328092268.0
2017-06-27,6109.37,6113.17,6128.38,6089.68,6231684900.0,75563273773.0
2017-06-28,6102.23,6086.21,6110.35,6075.14,6047948200.0,71450336215.0
2017-06-29,6089.92,6116.99,6132.25,6089.92,5803528900.0,70846315032.0
2017-06-30,6101.36,6138.16,6139.07,6090.25,5352122300.0,66361720180.0
2017-07-03,6142.17,6177.4,6177.4,6129.84,6382532200.0,74248241220.0
2017-07-04,6169.03,6146.85,6170.85,6134.88,6311419600.0,76708822695.0
2017-07-05,6135.71,6193.96,6193.96,6127.51,6862163800.0,83041215553.0
2017-07-06,6187.43,6201.65,6211.97,6149.93,8287181400.0,97626267780.0
2017-07-07,6182.45,6226.01,6229.83,6176.74,7932830700.0,93885482338.0
2017-07-10,6221.53,6206.56,6236.29,6189.0,9037099900.0,104581745916.0
2017-07-11,6194.62,6128.99,6202.2,6128.99,7698233000.0,90795353530.0
2017-07-12,6124.96,6132.99,6143.8,6050.65,7557950100.0,89554635963.0
2017-07-13,6134.75,6149.93,6172.68,6124.36,7913600900.0,96251741979.0
2017-07-14,6143.33,6128.74,6143.46,6107.91,6638636000.0,80743682309.0
2017-07-17,6108.45,5876.46,6108.45,5860.78,10153616900.0,113040983147.0
2017-07-18,5854.07,5938.43,5938.43,5842.96,7656432300.0,83831518529.0
2017-07-19,5928.01,6059.36,6059.53,5917.67,10290191400.0,108845290784.0
2017-07-20,6052.51,6099.28,6120.19,6046.41,9382877000.0,105755231487.0
2017-07-21,6089.66,6126.11,6136.97,6080.56,8313265400.0,97182317720.0
2017-07-24,6121.33,6167.13,6171.82,6117.3,9729992400.0,114327774240.0
2017-07-25,6159.41,6153.6,6170.65,6113.56,8922430400.0,102685759983.0
2017-07-26,6151.85,6146.7,6162.88,6111.04,8875349500.0,105711416131.0
